Ticker,Stock Name,Price Code,Ratios Code,In Market?
AGRO,Adecoagro S.A.,GOOG/NYSE_AGRO,DMDRN/AGRO_ALLFINANCIALRATIOS,Active
AGU,Agrium Inc.,GOOG/NYSE_AGU,DMDRN/AGU_ALLFINANCIALRATIOS,Active
AGX,Argan,GOOG/AMEX_AGX,DMDRN/AGX_ALLFINANCIALRATIOS,Active
AGYS,Agilysys,GOOG/NASDAQ_AGYS,DMDRN/AGYS_ALLFINANCIALRATIOS,Active
AH,Accretive Health,GOOG/NYSE_AH,DMDRN/AH_ALLFINANCIALRATIOS,Active
AHC,A.H. Belo Corp.,GOOG/NYSE_AHC,DMDRN/AHC_ALLFINANCIALRATIOS,Active
AHFP,American Home Food Prods Inc,GOOG/PINK_AHFP,DMDRN/AHFP_ALLFINANCIALRATIOS,Active
AHGP,Alliance Holdings Gp L.P.,GOOG/NASDAQ_AHGP,DMDRN/AHGP_ALLFINANCIALRATIOS,Active
AHL,Aspen Insurance Holdings,GOOG/NYSE_AHL,DMDRN/AHL_ALLFINANCIALRATIOS,Active
AHNR,Athena Silver Corp,GOOG/PINK_AHNR,DMDRN/AHNR_ALLFINANCIALRATIOS,Active
AHPI,Allied Healthcare Products,GOOG/NASDAQ_AHPI,DMDRN/AHPI_ALLFINANCIALRATIOS,Active
AHS,Amn Healthcare Services Inc,GOOG/NYSE_AHS,DMDRN/AHS_ALLFINANCIALRATIOS,Active
AHX.TO,Adherex Technologies INC,YAHOO/TSX_AHX_TO,DMDRN/AHX_TO_ALLFINANCIALRATIOS,Active
AI,Arlington Asset Investment Corp,GOOG/NYSE_AI,DMDRN/AI_ALLFINANCIALRATIOS,Active
AICIQ,Acceptance Insurance,GOOG/PINK_AICIQ,DMDRN/AICIQ_ALLFINANCIALRATIOS,Active
AIDO,Advanced ID Corp.,GOOG/PINK_AIDO,DMDRN/AIDO_ALLFINANCIALRATIOS,Active
AIG,American International Group,GOOG/NYSE_AIG,DMDRN/AIG_ALLFINANCIALRATIOS,Active
AIM,Aerosonic Corp.,GOOG/AMEX_AIM,DMDRN/AIM_ALLFINANCIALRATIOS,Active
AIMC,Altra Holdings,GOOG/NASDAQ_AIMC,DMDRN/AIMC_ALLFINANCIALRATIOS,Active
AIMM,AutoImmune Inc.,GOOG/PINK_AIMM,DMDRN/AIMM_ALLFINANCIALRATIOS,Active
AIN,Albany International Corp.,GOOG/NYSE_AIN,DMDRN/AIN_ALLFINANCIALRATIOS,Active
AINV,Apollo Investment Corp.,GOOG/NASDAQ_AINV,DMDRN/AINV_ALLFINANCIALRATIOS,Active
AIQ,Alliance Healthcare Services,GOOG/NYSE_AIQ,DMDRN/AIQ_ALLFINANCIALRATIOS,Active
AIR,Aar,GOOG/NYSE_AIR,DMDRN/AIR_ALLFINANCIALRATIOS,Active
AIRI,Air Industries Group Inc,GOOG/PINK_AIRI,DMDRN/AIRI_ALLFINANCIALRATIOS,Active
AIRM,Air Methods Corp.,GOOG/NASDAQ_AIRM,DMDRN/AIRM_ALLFINANCIALRATIOS,Active
AIRO,Airspan Networks Inc,GOOG/PINK_AIRO,DMDRN/AIRO_ALLFINANCIALRATIOS,Active
AIRT,Air T,GOOG/NASDAQ_AIRT,DMDRN/AIRT_ALLFINANCIALRATIOS,Active
AIT,Applied Industrial Technologies,GOOG/NYSE_AIT,DMDRN/AIT_ALLFINANCIALRATIOS,Active
AIV,Apartment Investment And Management,GOOG/NYSE_AIV,DMDRN/AIV_ALLFINANCIALRATIOS,Active
AIZ,Assurant,GOOG/NYSE_AIZ,DMDRN/AIZ_ALLFINANCIALRATIOS,Active
AJG,Arthur J. Gallagher & Co.,GOOG/NYSE_AJG,DMDRN/AJG_ALLFINANCIALRATIOS,Active
AJSB,AJS Bancorp Inc,GOOG/PINK_AJSB,DMDRN/AJSB_ALLFINANCIALRATIOS,Active
